,종목코드,종목명,종류
185,003070,코오롱글로벌,KOSPI
186,003075,코오롱글로벌우,KOSPI
187,003080,성보화학,KOSPI
188,003090,대웅,KOSPI
189,003100,선광,KOSDAQ
190,003120,일성신약,KOSPI
191,003160,디아이,KOSPI
192,003200,일신방직,KOSPI
193,003220,대원제약,KOSPI
194,003230,삼양식품,KOSPI
195,003240,태광산업,KOSPI
196,003280,흥아해운,KOSPI
197,003300,한일시멘트,KOSPI
198,003310,대주산업,KOSDAQ
199,003350,한국화장품제조,KOSPI
200,003380,제일홀딩스,KOSDAQ
201,003410,쌍용양회,KOSPI
202,003415,쌍용양회우,KOSPI
203,003460,유화증권,KOSPI
204,003465,유화증권우,KOSPI
205,003470,동양증권,KOSPI
206,003475,동양증권1우,KOSPI
207,003480,한진중공업홀딩스,KOSPI
208,003490,대한항공,KOSPI
209,003495,대한항공우,KOSPI
210,003520,영진약품,KOSPI
211,003530,한화투자증권,KOSPI
212,003535,한화투자증권우,KOSPI
213,003540,대신증권,KOSPI
214,003545,대신증권우,KOSPI
215,003547,대신증권2우B,KOSPI
216,003550,LG,KOSPI
217,003555,LG우,KOSPI
218,003560,IHQ,KOSPI
219,003570,S&T;중공업,KOSPI
220,003580,동원,KOSPI
221,003610,방림,KOSPI
222,003620,쌍용차,KOSPI
223,003650,미창석유,KOSPI
224,003670,포스코켐텍,KOSDAQ
225,003680,한성기업,KOSPI
226,003690,코리안리,KOSPI
227,003720,삼영화학,KOSPI
228,003780,진양산업,KOSPI
229,003800,에이스침대,KOSDAQ
230,003830,대한화섬,KOSPI
231,003850,보령제약,KOSPI
232,003920,남양유업,KOSPI
233,003925,남양유업우,KOSPI
234,003960,사조대림,KOSPI
235,004000,롯데정밀화학,KOSPI
236,004020,현대제철,KOSPI
237,004060,SG세계물산,KOSPI
238,004080,신흥,KOSPI
239,004090,한국석유,KOSPI
240,004100,태양금속,KOSPI
241,004105,태양금속우,KOSPI
242,004130,대덕GDS,KOSPI
243,004135,대덕GDS우,KOSPI
244,004140,동방,KOSPI
245,004150,한솔홀딩스,KOSPI
246,004170,신세계,KOSPI
247,004200,고려개발,KOSPI
248,004250,NPC,KOSPI
249,004255,NPC우,KOSPI
250,004270,남성,KOSPI
251,004310,현대약품,KOSPI
252,004360,세방,KOSPI
